,job,company,location,duration,stipend(/month),posted,skills_required,avg_stipend,is_work_from_home,job_gre_5,comp_more_demandable_job,com_gre_5,paid/free
48,Subject Matter Expert (Statistics),Graveiens Eduservices Private Limited,Work From Home,3 Months,1000,1 week ago,"['Online Teaching', 'Statistics', 'Subject Matter Expert (SME)', 'Teaching']",1000,1,0,0,1,1
49,Subject Matter Expert (Operation Management),Graveiens Eduservices Private Limited,Work From Home,3 Months,1000,1 week ago,"['Online Teaching', 'Operations', 'Subject Matter Expert (SME)', 'Teaching']",1000,1,0,0,1,1
50,Content Development (Biology),Graveiens Eduservices Private Limited,Work From Home,3 Months,1000,2 days ago,"['Biology', 'Content Writing', 'Online Teaching', 'Subject Matter Expert (SME)', 'Teaching']",1000,1,0,0,1,1
52,Article Writing (UPSC),Graveiens Eduservices Private Limited,Work From Home,3 Months,1000,1 week ago,"['Content Writing', 'Subject Matter Expert (SME)', 'Teaching']",1000,1,0,0,1,1
53,Sales Consultant,ConsultBae,Gurgaon,6 Months,5000-8000,Today,"['Effective Communication', 'Email Marketing', 'LinkedIn Marketing']",6500,0,1,0,1,1
54,Inhouse Event Coordination,Peppermint Communications Private Limited,"Kalyan, Bhiwandi",2 Months,10000,Today,"['Effective Communication', 'MS-Office']",10000,0,0,0,0,1
55,Marketing,Sharify Adverts,Work From Home,1 Week,2400,Today,['NOT MENTIONED'],2400,1,1,0,0,1
56,Inside Sales,People Agile,Work From Home,6 Months,4000,Today,"['Business Analysis', 'Business Research', 'CRM', 'Sales', 'Sales pitch']",4000,1,1,0,0,1
57,Data Entry,Arcatron Mobility Private Limited,Pune,3 Months,12000,Today,"['Advanced Excel', 'MS-Excel', 'MS-Office']",12000,0,1,0,1,1
58,Field Sales,Rightman Apparel,Jaipur,3 Months,5000,2 days ago,['English Proficiency (Spoken)'],5000,0,1,0,0,1
59,Cinematography And Video Editing,Ashutosh Upadhyay,"Delhi, Gurgaon, Noida",3 Months,10000,2 weeks ago,"['Adobe Creative Suite', 'Video Editing', 'Video Making']",10000,0,0,0,0,1
60,Social Media Marketing,Sharify Adverts,Work From Home,1 Week,2800,Today,['NOT MENTIONED'],2800,1,1,0,0,1
61,Electrical Engineering,Inertia Labs (brand Of Sristan Technologies Private Limited),"Thane, Kalyan, Mumbai",6 Months,2000-2500,Today,['NOT MENTIONED'],2250,0,1,0,0,1
62,Video Editing/Making,IIT Bombay,Work From Home,6 Months,1000-2000,Today,"['Adobe Premiere Pro', 'Video Editing']",1500,1,1,0,0,1
63,Material Science,Inertia Labs (brand Of Sristan Technologies Private Limited),"Thane, Kalyan, Mumbai",6 Months,2000-2500,Today,['NOT MENTIONED'],2250,0,0,0,0,1
