,job,company,location,duration,stipend(/month),posted,skills_required,avg_stipend,is_work_from_home,job_gre_5,comp_more_demandable_job,com_gre_5,paid/free
4020,Marketing,Triangular Dots,Work From Home,3 Months,10000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office']",10000,1,1,0,0,1
4021,Content Writing,WeGit Technologies,Work From Home,3 Months,2000,1 week ago,"['Blogging', 'Creative Writing', 'English Proficiency (Written)', 'Search Engine Optimization (SEO)']",2000,1,1,0,0,1
4022,Human Resources (HR),AmbiSure,Work From Home,2 Months,5000-7500,1 week ago,['Recruitment'],6250,1,1,0,0,1
4023,.NET Development,Radionics Technology,Work From Home,4 Months,5000-10000,1 week ago,"['.NET', 'C#.NET', 'JavaScript', 'Model View Controller(MVC)', 'MS SQL Server']",7500,1,1,0,0,1
4024,PHP Development,Medicalbook,Work From Home,2 Months,3000,1 week ago,"['AJAX', 'Bootstrap', 'CodeIgniter', 'HTML', 'jQuery', 'LARAVEL', 'MySQL', 'PHP']",3000,1,1,0,0,1
4025,Marketing,SVF Entertainment Private Limited,Work From Home,3 Months,7000-10000,1 week ago,"['English Proficiency (Spoken)', 'Event Management', 'Marketing']",8500,1,1,0,0,1
4026,Business Development (Sales),Propkarmaa Private Limited,Work From Home,3 Months,8000,1 week ago,"['Business Analysis', 'Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Negotiation & Problem-solving', 'Sales']",8000,1,1,0,0,1
4027,Digital Marketing,Sandeep Singh,Work From Home,2 Months,5000,1 week ago,"['Creative Writing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Social Media Marketing']",5000,1,1,0,0,1
4028,HR Consultant,Turtlemint Insurance Broker,Work From Home,6 Months,15000,1 week ago,['Recruitment'],15000,1,1,0,0,1
4029,Operations,The Madpackers Hostel,Work From Home,1 Month,8000-10000,1 week ago,['Client Relationship'],9000,1,1,0,0,1
4030,Talent Acquisition,Unbox Robotics,Work From Home,6 Months,10000-20000,1 week ago,"['MS-Excel', 'Recruitment']",15000,1,1,0,0,1
4031,Video Editing/Making,Monday Blue,Work From Home,3 Months,5000-15000,1 week ago,"['Adobe Premiere Pro', 'Video Editing', 'Video Making']",10000,1,1,0,0,1
4032,Digital Marketing,We Make Brands,Work From Home,3 Months,8000-12000,1 week ago,"['Digital Marketing', 'English Proficiency (Written)', 'Facebook Marketing', 'Instagram Marketing', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",10000,1,1,0,0,1
4033,Social Media Marketing,Rannka Digital,Work From Home,6 Months,8000-15000,1 week ago,"['Creative Writing', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Facebook Marketing', 'Instagram Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",11500,1,1,0,0,1
4034,Human Resources (HR),Vecmocon Technologies,Work From Home,2 Months,7000-10000,1 week ago,['Recruitment'],8500,1,1,0,0,1
4035,Business Development (Sales),NIPSTec Limited,Work From Home,6 Months,15000,1 week ago,"['Effective Communication', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Office']",15000,1,1,0,0,1
4036,Human Resources (HR),ProGetters,Work From Home,6 Months,4000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office', 'MS-Word', 'Social Media Marketing']",4000,1,1,0,0,1
4037,Business Development (Sales),Land Devine Developers Private Limited,Work From Home,3 Months,8000,1 week ago,['Marketing'],8000,1,1,0,0,1
4038,Teaching,Mahavira Coding Classes,Work From Home,6 Months,1000,1 week ago,"['English Proficiency (Spoken)', 'Hindi Proficiency (Spoken)', 'Online Teaching', 'Teaching']",1000,1,1,0,0,1
4039,Social Media Marketing,RBollywood,Work From Home,3 Months,5000-15000,1 week ago,"['Digital Marketing', 'Social Media Marketing']",10000,1,1,0,0,1
4040,Business Development (Sales),EEW Learning Solutions LLP,Work From Home,3 Months,8000-10000,1 week ago,"['Digital Marketing', 'Effective Communication', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'LinkedIn Marketing', 'MS-Excel']",9000,1,1,0,0,1
4041,Content Writing,Thynk Google,Work From Home,6 Months,5000-10000,1 week ago,['Content Writing'],7500,1,1,0,0,1
4042,Social Media Marketing,The Wedding Saga,Work From Home,6 Months,4000,1 week ago,"['Canva', 'Creative Writing', 'Social Media Marketing']",4000,1,1,0,0,1
4043,Graphic Design,Scaler Academy,Work From Home,6 Months,20000,1 week ago,"['Adobe After Effects', 'Adobe Illustrator', 'Adobe Photoshop', 'Figma', 'Photography']",20000,1,1,0,0,1
4044,Sales,Pavingo,Work From Home,3 Months,8000,1 week ago,"['Marketing', 'Sales']",8000,1,1,0,0,1
4045,Graphic Design,Skylish Dog Bakery,Work From Home,2 Months,10000,1 week ago,['NOT MENTIONED'],10000,1,1,0,0,1
4046,Interior Design,Kritika Chandela,Work From Home,6 Months,10000,1 week ago,['Adobe Photoshop'],10000,1,1,0,0,1
4047,Marketing,Abhiprerana ATE World Talk,Work From Home,3 Months,2000-5000,1 week ago,"['Digital Marketing', 'Email Marketing', 'Facebook Marketing', 'MS-Office', 'Salesforce']",3500,1,1,0,0,1
4048,Finance,Amnex Infotechnologies Private Limited,Work From Home,4 Months,5000,1 week ago,"['Accounting', 'MS-Excel', 'MS-Office']",5000,1,1,0,0,1
4049,Marketing,Green Signature,Work From Home,3 Months,8000,1 week ago,"['Content Marketing', 'Digital Marketing', 'Email Marketing', 'Lead Generation', 'LinkedIn Marketing', 'Social Media Marketing']",8000,1,1,0,0,1
4050,Social Media Marketing,The Sterling Factory,Work From Home,6 Months,6000-8000,1 week ago,"['Creative Writing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Instagram Marketing', 'Social Media Marketing']",7000,1,1,0,0,1
4051,Business Development (Sales),Marketghosts,Work From Home,6 Months,5000,1 week ago,"['Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)']",5000,1,1,0,0,1
4052,Inside Sales,Techmozo,Work From Home,5 Months,8000,1 week ago,"['Digital Marketing', 'Internet of Things (IoT)']",8000,1,1,0,0,1
4053,Human Resources (HR),Ayurashish Innovations Private Limited,Work From Home,2 Months,5000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Word']",5000,1,1,0,0,1
4054,Business Development (Sales),Nordic Academy,Work From Home,6 Months,7500,1 week ago,"['Email Marketing', 'English Proficiency (Spoken)', 'Lead Generation']",7500,1,1,0,0,1
4055,Content Writing,Safalta (An Initiative By Amar Ujala Limited),Work From Home,6 Months,5000-10000,1 week ago,"['Canva', 'Content Marketing', 'Content Writing', 'Copywriting']",7500,1,1,0,0,1
4056,Energy Science and Engineering,Energize Technologies,Work From Home,6 Months,5000-15000,1 week ago,"['C Programming', 'Embedded Systems', 'MATLAB', 'MS-Office', 'Python', 'Simulink']",10000,1,0,0,0,1
4057,Graphic Design,Ttusecurity Private Limited,Work From Home,6 Months,4000,1 week ago,"['Adobe Illustrator', 'Adobe Photoshop', 'Canva', 'UI & UX Design']",4000,1,1,0,0,1
4058,Interior Design,Sayash Interiors,Work From Home,3 Months,2000,1 week ago,"['3ds Max', 'Adobe Photoshop', 'AutoCAD', 'MS-Excel', 'MS-PowerPoint']",2000,1,1,0,0,1
4059,Human Resources (HR),MSAG Skill India LLP,Work From Home,3 Months,10000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office', 'Recruitment']",10000,1,1,0,0,1
4060,Operations,Zi Cloud,Work From Home,3 Months,3750,1 week ago,"['English Proficiency (Spoken)', 'Figma', 'MS-Excel', 'MS-Office']",3750,1,1,0,0,1
4061,Social Media Marketing,Rajshri Entertainment Private Limited,Work From Home,3 Months,8000-12000,1 week ago,"['Digital Marketing', 'English Proficiency (Spoken)', 'Facebook Marketing', 'Instagram Marketing', 'Social Media Marketing']",10000,1,1,0,0,1
4062,E-Commerce Sales,Thejanki.com,Work From Home,6 Months,5000-7000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'Google Suite (G Suite)', 'Google Workspace', 'MS-Excel', 'MS-Word']",6000,1,0,0,0,1
4063,Business Development (Sales),Brands Impact,Work From Home,2 Months,8000,1 week ago,"['English Proficiency (Spoken)', 'Lead Generation', 'MS-Office', 'Sales']",8000,1,1,0,0,1
4064,Architecture,STHAPATI ASSOCIATES,Work From Home,6 Months,12000,1 week ago,"['Adobe Photoshop', 'AutoCAD', 'Autodesk Revit']",12000,1,1,0,0,1
4065,Graphic Design,Clever Fox Publishing,Work From Home,4 Months,10000,1 week ago,"['Adobe After Effects', 'Adobe Illustrator', 'Adobe Photoshop', 'CorelDRAW', 'UI & UX Design', 'Video Editing']",10000,1,1,0,0,1
4066,Marketing,Positive Vibez Brand Solution Private Limited,Work From Home,6 Months,10000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Office']",10000,1,1,0,0,1
4067,Node.js Development,Arambh Technologies,Work From Home,6 Months,2000,1 week ago,"['MongoDB', 'Node.js']",2000,1,1,0,0,1
4068,Business Development (Sales),PROCODE IT SERVICES,Work From Home,6 Months,1500,1 week ago,['Digital Marketing'],1500,1,1,0,0,1
4069,UI/UX Design,ICapotech,Work From Home,6 Months,8000-10000,1 week ago,"['Adobe Illustrator', 'Adobe XD', 'Figma', 'UI & UX Design', 'Wireframing']",9000,1,1,1,0,1
4070,Proofreading,Worldview Publications,Work From Home,6 Months,10000-12500,1 week ago,['NOT MENTIONED'],11250,1,0,0,0,1
4071,Search Engine Optimization (SEO),Minzor,Work From Home,6 Months,5000,1 week ago,"['Google AdWords', 'Google Analytics', 'Search Engine Optimization (SEO)', 'Social Media Marketing', 'WordPress']",5000,1,1,0,0,1
4072,Telecalling,Brand Era,Work From Home,1 Month,1500,1 week ago,"['Effective Communication', 'English Proficiency (Spoken)', 'Hindi Proficiency (Spoken)']",1500,1,1,0,0,1
4073,Graphic Design,Firstricoz Private Limited,Work From Home,4 Months,3000,1 week ago,"['Adobe After Effects', 'Adobe Illustrator', 'Adobe Photoshop', 'Adobe Premiere Pro']",3000,1,1,0,0,1
4074,Interior Design,Ajara Design Studio,Work From Home,6 Months,5000,1 week ago,['MS-Office'],5000,1,1,0,0,1
4075,Fashion Design,Mirali,Work From Home,3 Months,5000-10000,1 week ago,"['Adobe Illustrator', 'Adobe Photoshop', 'CorelDRAW', 'Fashion Designing']",7500,1,1,0,0,1
4076,Business Development (Sales),UniqMove,Work From Home,6 Months,5000,1 week ago,"['Email Marketing', 'English Proficiency (Spoken)', 'Lead Generation']",5000,1,1,0,0,1
4077,Marketing,Parfait Immigration Limited,Work From Home,6 Months,15000,1 week ago,['Marketing'],15000,1,1,0,0,1
4078,Digital Marketing,OneTree BNB Private Limited,Work From Home,3 Months,10000,1 week ago,"['Digital Marketing', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",10000,1,1,0,0,1
4079,Zoho Email Campaigns,Nonprofit Financial Sustainability (NFS) Foundation,Work From Home,1 Month,7000,1 week ago,"['CRM', 'Email Marketing']",7000,1,0,0,0,1
4080,E-commerce Operations & Social Media Marketing,SHS Global,Work From Home,6 Months,7000,1 week ago,"['Canva', 'Content Writing', 'Digital Marketing', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",7000,1,0,0,0,1
4081,Digital Marketing,Coders Boutique,Work From Home,3 Months,1000,1 week ago,"['Digital Marketing', 'Search Engine Optimization (SEO)']",1000,1,1,0,0,1
4082,Business Development (Sales),Aero Telcom Solutions Private Limited,Work From Home,6 Months,4000,1 week ago,"['CRM', 'English Proficiency (Written)', 'MS-Excel', 'Negotiation & Problem-solving', 'Social Media Marketing']",4000,1,1,0,0,1
4083,PHP Development,TNIT Services LLP,Work From Home,3 Months,6000-8000,1 week ago,"['CodeIgniter', 'CSS', 'HTML', 'LARAVEL', 'MySQL', 'PHP', 'WordPress']",7000,1,1,0,0,1
4084,Mobile App Development,Black Pearl Enterprise,Work From Home,3 Months,1000,1 week ago,"['React Native', 'REST API']",1000,1,1,0,0,1
4085,Digital Marketing,Srinivas Shastry,Work From Home,3 Months,12000,1 week ago,"['Adobe Photoshop', 'Canva', 'Digital Marketing', 'English Proficiency (Spoken)', 'WordPress']",12000,1,1,0,0,1
4086,Pharmaceutical,JS Water Energy Life Company,Work From Home,3 Months,12000,1 week ago,['NOT MENTIONED'],12000,1,0,0,0,1
4087,Volunteering,Indiaum Solutions,Work From Home,1 Month,1000,1 week ago,"['English Proficiency (Spoken)', 'Hindi Proficiency (Spoken)']",1000,1,1,0,0,1
4088,Digital Marketing,FixMyCycle,Work From Home,6 Months,5000-10000,1 week ago,"['Creative Writing', 'Facebook Marketing', 'Instagram Marketing', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",7500,1,1,0,0,1
4089,Marketing,ESK Technologies,Work From Home,2 Months,8000,1 week ago,"['Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'Social Media Marketing']",8000,1,1,0,0,1
4090,Textile Design,Linenwalas,Work From Home,2 Months,5000-8000,1 week ago,['NOT MENTIONED'],6500,1,0,0,0,1
4091,Agriculture & Food Engineering,Radiant Infonet Private Limited,Work From Home,3 Months,5000,1 week ago,['NOT MENTIONED'],5000,1,0,0,0,1
4092,Content Writing,Girl Power Talk,Work From Home,6 Months,4000-8000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)']",6000,1,1,0,1,1
4093,Marketing & Communications,Girl Power Talk,Work From Home,6 Months,4000-8000,1 week ago,"['Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)']",6000,1,0,0,1,1
4094,E-Commerce Website And Mobile App Development Using WIx,MyMegaminds,Work From Home,1 Month,8000,1 week ago,['NOT MENTIONED'],8000,1,0,0,0,1
4095,Architecture,Creative Architects & Interiors,Work From Home,3 Months,4000,1 week ago,['NOT MENTIONED'],4000,1,1,0,0,1
4096,Human Resources (HR),Incuspaze,Work From Home,3 Months,10000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'Recruitment']",10000,1,1,0,0,1
4097,Event Productions & Operations,Roseknot Events,Work From Home,6 Months,10000,1 week ago,['NOT MENTIONED'],10000,1,0,0,0,1
4098,Travel,My Trip To India,Work From Home,4 Months,7000,1 week ago,"['English Proficiency (Written)', 'Marketing', 'Salesforce']",7000,1,0,0,0,1
4099,Graphic Design,FirstSportz,Work From Home,4 Months,6000,1 week ago,"['Adobe Photoshop', 'Adobe Premiere Pro', 'CorelDRAW']",6000,1,1,0,1,1
4100,Graphic Design,Almora IT And Publisher Services,Work From Home,6 Months,4000,1 week ago,"['Canva', 'Content Writing']",4000,1,1,0,0,1
4101,Digital Marketing,Abhiyantriki Technology Private Limited,Work From Home,6 Months,5000,1 week ago,"['Creative Writing', 'Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Instagram Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",5000,1,1,0,0,1
4102,Business Development (Sales),The Prasashars,Work From Home,2 Months,4000,1 week ago,"['Client Relationship', 'Digital Marketing']",4000,1,1,0,0,1
4103,Digital Marketing,Osumare,Work From Home,6 Months,7000,1 week ago,"['Digital Marketing', 'Google AdWords', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",7000,1,1,0,0,1
4104,Video Editing/Making,Campstudio,Work From Home,3 Months,5000-10000,1 week ago,"['Adobe After Effects', 'Adobe Premiere Pro', 'Video Editing']",7500,1,1,0,0,1
4105,Graphic Design,Girl Power Talk,Work From Home,6 Months,4000-8000,1 week ago,"['Adobe Creative Suite', 'Adobe Illustrator', 'Adobe Premiere Pro', 'Figma']",6000,1,1,0,1,1
4106,Graphic Design,Bodhi Tree Knowledge Services Private Limited,Work From Home,6 Months,10000,1 week ago,"['Adobe After Effects', 'Adobe Illustrator', 'Adobe Photoshop', 'Adobe Premiere Pro', 'Canva', 'Content Writing', 'Video Editing']",10000,1,1,0,0,1
4107,Online Marketing,7 Dollar Store,Work From Home,2 Months,2000,1 week ago,['NOT MENTIONED'],2000,1,1,0,0,1
4108,Legal Research,EstartIndia Private Limited,Work From Home,3 Months,3000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Word']",3000,1,1,0,0,1
4109,Game Development,MentorBoxx,Work From Home,1 Month,18000,1 week ago,"['Java', 'Unity 3D', 'Unity Engine']",18000,1,1,0,1,1
4110,Digital Marketing,MentorBoxx,Work From Home,2 Months,18000,1 week ago,"['Email Marketing', 'Facebook Marketing', 'Google AdWords', 'Google Analytics', 'Instagram Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)']",18000,1,1,0,1,1
4111,Software Development,Z Revolution Tech Private Limited,Gurgaon,6 Months,10000,1 week ago,"['AngularJS', 'CSS', 'HTML', 'JavaScript', 'MEAN/MERN Stack', 'MongoDB', 'Node.js']",10000,0,1,1,0,1
4112,Business Development (Sales),MentorBoxx,Work From Home,2 Months,5000-10000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'Salesforce']",7500,1,1,0,1,1
4113,Social Media Marketing,MentorBoxx,Work From Home,1 Month,8000,1 week ago,"['Facebook Marketing', 'Instagram Marketing', 'Social Media Marketing']",8000,1,1,0,1,1
4114,Blockchain Development,Shubh International,Work From Home,1 Month,10000-15000,1 week ago,"['Blockchain', 'C++ Programming', 'Ethereum', 'Hyperledger', 'Java', 'JavaScript', 'Node.js', 'Python', 'ReactJS']",12500,1,1,0,1,1
4115,Video Editing/Making,Shubh International,Work From Home,2 Months,12000,1 week ago,"['Adobe After Effects', 'Adobe Indesign', 'Adobe Premiere Pro', 'Video Editing', 'Video Making']",12000,1,1,0,1,1
4116,Machine Learning,Shubh International,Work From Home,2 Months,14000-16000,1 week ago,"['.NET', 'Data Analytics', 'Data Science', 'Deep Learning', 'Machine Learning', 'Natural Language Processing (NLP)', 'Python', 'R Programming']",15000,1,1,1,1,1
4117,Finance,Shubh International,Work From Home,1 Month,12000,1 week ago,"['Accounting', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Financial Modeling', 'MS-Excel', 'MS-Office', 'Tally']",12000,1,1,0,1,1
4118,Social Media Analytics,Namekart,Work From Home,3 Months,5000-15000,1 week ago,['Social Media Marketing'],10000,1,0,0,0,1
4119,Social Media Marketing,NutriOmClinic,Work From Home,2 Months,1000-2000,1 week ago,"['English Proficiency (Written)', 'Facebook Marketing', 'Instagram Marketing', 'Social Media Marketing']",1500,1,1,0,0,1
4120,WordPress Development,PassionMojo Private Limited,Work From Home,3 Months,2000,1 week ago,"['Adobe Indesign', 'Adobe Photoshop', 'Canva', 'CSS', 'HTML', 'PHP']",2000,1,1,0,0,1
4121,Online CBSE Physics/Mathematics Tutoring,Narigiri's Connect To Universe Private Limited,Work From Home,6 Months,1500-8000,1 week ago,['NOT MENTIONED'],4750,1,0,0,1,1
4122,Business Development (Sales),Kshitiksha Foundation,Work From Home,1 Month,2500,1 week ago,['NOT MENTIONED'],2500,1,1,0,1,1
4123,Relationship Managment,Kshitiksha Foundation,Work From Home,1 Month,4000,1 week ago,['NOT MENTIONED'],4000,1,0,0,1,1
4124,Human Resources (HR),Sarvam Foundation,Work From Home,4 Months,0,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Word', 'Operations', 'Recruitment']",0,1,1,0,0,0
4125,HR Consultant,Avaari,Work From Home,3 Months,7000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)']",7000,1,1,0,1,1
4126,Video Editing/Making,Avaari,"Kolkata, Pune, Bangalore, Mumbai, Jaipur, Ahmedabad, Chennai, Delhi",1 Month,10000,1 week ago,"['Video Editing', 'Video Making']",10000,0,1,0,1,1
4127,Photography,Avaari,Work From Home,1 Month,10000,1 week ago,"['Adobe Photoshop', 'Adobe Photoshop Lightroom CC', 'Photography', 'Video Editing', 'Video Making']",10000,1,1,0,1,1
4128,Mechanical Engineering,Avaari,Work From Home,2 Months,15000,1 week ago,"['ANSYS', 'AutoCAD', 'Autodesk Fusion 360', 'Catia', 'MS-Office', 'SolidWorks']",15000,1,1,0,1,1
4129,Interior Design,Avaari,Work From Home,2 Months,15000,1 week ago,"['3ds Max', 'Adobe Photoshop', 'AutoCAD']",15000,1,1,0,1,1
4130,Web Development,Avaari,Work From Home,1 Month,15000,1 week ago,"['Bootstrap', 'CSS', 'HTML', 'JavaScript', 'jQuery', 'MySQL', 'Node.js', 'PHP', 'ReactJS', 'WordPress']",15000,1,1,1,1,1
4131,Social Media Marketing,Avaari,Work From Home,1 Month,18000,1 week ago,"['Digital Marketing', 'Email Marketing', 'Facebook Marketing', 'Instagram Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",18000,1,1,0,1,1
4132,Business Development (Sales),Avaari,Work From Home,1 Month,15000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'Salesforce']",15000,1,1,0,1,1
4133,Data Entry,MentorBoxx,Pune,1 Month,3000-5000,1 week ago,"['English Proficiency (Written)', 'MS-Excel']",4000,0,1,0,1,1
4134,Artificial Intelligence (AI),Avaari,Work From Home,1 Month,15000,1 week ago,"['Data Science', 'Data Structures', 'Python']",15000,1,1,1,1,1
4135,Civil Engineering,Avaari,Work From Home,2 Months,15000,1 week ago,"['3ds Max', 'AutoCAD', 'Mathematics', 'Physics', 'PTC Creo']",15000,1,1,0,1,1
4136,Human Resources (HR),MentorBoxx,"Mumbai, Delhi, Pune, Bangalore, Hyderabad, Chennai",1 Month,3000-4000,1 week ago,"['American English', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Tally']",3500,0,1,0,1,1
4137,Electrical Engineering,Avaari,Work From Home,1 Month,12000,1 week ago,"['Arduino', 'ARM Microcontroller', 'Atmel AVR', 'ElectronJS', 'Model View Controller(MVC)', 'Quality Assurance/Quality Control (QA/QC)']",12000,1,1,0,1,1
4138,Marketing,Avaari,Work From Home,2 Months,18000,1 week ago,"['Digital Marketing', 'Marketing', 'Social Media Marketing']",18000,1,1,0,1,1
4139,Marketing,MentorBoxx,Work From Home,1 Month,3000-7000,1 week ago,"['Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Facebook Marketing', 'Social Media Marketing']",5000,1,1,0,1,1
4140,Graphic Design,MentorBoxx,Work From Home,2 Months,5000-7000,1 week ago,"['Adobe After Effects', 'Adobe Creative Suite', 'Adobe Illustrator', 'Adobe Indesign', 'Adobe Photoshop', 'Adobe Photoshop Lightroom CC', 'Adobe Premiere Pro', 'CorelDRAW', 'UI & UX Design', 'Video Editing']",6000,1,1,0,1,1
4141,Mobile App Development,Avaari,Work From Home,1 Month,15000,1 week ago,"['Android', 'Firebase', 'Flutter', 'iOS', 'Java', 'Kotlin', 'Node.js', 'ReactJS', 'React Native', 'REST API']",15000,1,1,0,1,1
4142,Event Management,Shubh International,"Bangalore, Mumbai, Jaipur, Chennai, Delhi, Indore, Kolkata, Lucknow, Pune",2 Months,9000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'Event Management', 'MS-Excel', 'MS-Office', 'MS-PowerPoint']",9000,0,1,0,1,1
4143,Graphic Design,Shubh International,Work From Home,2 Months,8000,1 week ago,"['Adobe After Effects', 'Adobe Creative Suite', 'Adobe Illustrator', 'Adobe Indesign', 'Adobe Photoshop', 'Adobe Photoshop Lightroom CC', 'Adobe Premiere Pro', 'CorelDRAW', 'UI & UX Design', 'Video Editing']",8000,1,1,0,1,1
4144,Human Resources (HR),Avaari,Work From Home,1 Month,15000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)']",15000,1,1,0,1,1
4145,Content Writing,Avaari,Work From Home,1 Month,12000,1 week ago,"['Blogging', 'Creative Writing', 'Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",12000,1,1,0,1,1
4146,Machine Learning,Avaari,Work From Home,2 Months,15000,1 week ago,"['Data Analytics', 'Data Science', 'Deep Learning', 'Machine Learning', 'Natural Language Processing (NLP)', 'Python', 'R Programming']",15000,1,1,1,1,1
4147,Data Entry,Shubh International,Work From Home,2 Months,8000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office']",8000,1,1,0,1,1
4148,Product Management,Avaari,Work From Home,1 Month,15000,1 week ago,"['English Proficiency (Spoken)', 'Product Lifecycle Management(PLM)', 'Product Management']",15000,1,1,0,1,1
4149,Blockchain Development,Avaari,Work From Home,2 Months,18000,1 week ago,"['Blockchain', 'C++ Programming', 'Ethereum', 'Hyperledger', 'Java', 'JavaScript', 'Node.js', 'Python', 'ReactJS']",18000,1,1,0,1,1
4150,Social Media Marketing,Shubh International,Work From Home,2 Months,12000,1 week ago,"['Creative Writing', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Facebook Marketing', 'Instagram Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",12000,1,1,0,1,1
4151,Social Media Marketing,Buddha Education Association Incorporation,Work From Home,1 Month,10000,1 week ago,"['Digital Marketing', 'Facebook Marketing', 'Instagram Marketing', 'Social Media Marketing']",10000,1,1,0,1,1
4152,Chartered Accountancy (CA),Shubh International,Work From Home,2 Months,12000,1 week ago,"['Accounting', 'MS-Excel', 'MS-Office', 'MS-Word', 'Tally']",12000,1,1,0,1,1
4153,Electrical Engineering,Shubh International,Work From Home,2 Months,12000,1 week ago,"['Arduino', 'AutoCAD', 'Circuit Design', 'Robotics']",12000,1,1,0,1,1
4154,Operations,Shubh International,Work From Home,2 Months,10000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office', 'MS-PowerPoint', 'MS-Word']",10000,1,1,0,1,1
4155,Content Writing,Shubh International,Work From Home,2 Months,12000,1 week ago,"['Blogging', 'Creative Writing', 'Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",12000,1,1,0,1,1
4156,Web Development,Shubh International,Work From Home,2 Months,6000,1 week ago,"['Bootstrap', 'CSS', 'HTML', 'JavaScript', 'jQuery', 'MySQL', 'Node.js', 'PHP', 'ReactJS', 'WordPress']",6000,1,1,1,1,1
4157,Artificial Intelligence (AI),Shubh International,Work From Home,2 Months,8000-10000,1 week ago,"['Data Science', 'Data Structures', 'Deep Learning', 'Machine Learning', 'Natural Language Processing (NLP)', 'Neural Networks', 'Python']",9000,1,1,1,1,1
4158,Digital Marketing,Shubh International,Gandhidham Sub-District,6 Months,10000-15000,1 week ago,"['Digital Marketing', 'Email Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)']",12500,0,1,0,1,1
4159,Graphic Design,Rohit Munde,Work From Home,2 Months,4000,1 week ago,['Adobe Photoshop'],4000,1,1,0,0,1
4160,Product Management,Buddha Education Association Incorporation,Work From Home,1 Month,12000,1 week ago,"['English Proficiency (Spoken)', 'Product Lifecycle Management(PLM)', 'Product Management']",12000,1,1,0,1,1
4161,Videography,Buddha Education Association Incorporation,Work From Home,1 Month,12000,1 week ago,"['Video Editing', 'Video Making']",12000,1,1,0,1,1
4162,Firmware Development,Spaceflash Computers,Bangalore,4 Months,12000,1 week ago,"['Algorithms', 'ARM Microcontroller', 'C Programming']",12000,0,0,0,0,1
